name,wiki_slug,query,wiki_2020,hn_2020,pm_2020,wiki_2021,hn_2021,pm_2021,wiki_2022,hn_2022,pm_2022,wiki_2023,hn_2023,pm_2023,wiki_2024,hn_2024,pm_2024,wiki_2025,hn_2025,pm_2025,wiki_5yr_x,hn_5yr_x,pm_5yr_x,wiki_cagr,hn_cagr,pm_cagr,wiki_avg_views,hn_total,pm_total,quiet_trend,passes_size_gate,concept,monetization,arpu_year,proof,persona,log_wiki,rank_score
Long COVID,Long_COVID,long covid,14851,195,4347,495865,201,9526,429224,226,11173,292508,172,9258,409833,111,7385,324445,52,6484,27.596323479900345,0.5692307692307692,1.6988727858293076,1.2919904659818546,-0.1313954662709147,0.1416690161598239,327787.6666666667,957,48173,1.423385932252769,True,"Трекер симптомов и триггеров (пульс, brain fog, post-exertional malaise) + библиотека протоколов + сообщество. Пассивный сбор HRV через Apple Watch / Wear OS.",Подписка $14.99/мес + разовые покупки протоколов ($19-39 IAP),100,Visible (от Bateman Horne) берёт $25/мес и держит wait-list. Long COVID Diary в App Store.,"Женщина 25-45, диагноз Long COVID или ME/CFS, врачи помогают слабо, активно ищет решения",5.515592608784886,3.142875202771597
Dopamine fasting,Dopamine_fasting,dopamine fasting,26700,7,17,39502,5,34,79386,3,26,70459,1,24,142535,2,18,51979,2,26,5.338389513108615,0.2857142857142857,1.0588235294117647,0.5200314182484325,-0.2688895542909753,0.0143921878913761,68426.83333333333,20,145,0.7889209725394077,True,"Жёсткий блокировщик использования телефона: триггер-блоки по приложениям/категориям, hard cutoffs, streaks для накопления стрика. Не клон Screen Time — построено вокруг модели «цикла стимуляции».",Freemium: бесплатно с лимитами; $5.99/мес или $39.99/год снимает лимиты + виджет для Apple Watch,35,"Opal $79/год, ScreenZen $50 разово, Forest $4 — все прибыльные. Термин раскачал Andrew Huberman.","Мужчина 22-38, knowledge worker, пробовал Screen Time, читает про dopamine detox",4.8352264421199225,1.6230287020442107
Pilates,Pilates,pilates app,532744,4,0,459198,12,0,565597,44,1,631682,124,0,790999,4,0,713910,143,2,1.4847637889868304,1.0,,0.1038608781401542,0.0,,615688.3333333334,331,3,0.1038608781401542,True,"Видео-коучинг подписка специально для владельцев домашних reformer-ов (Lagree, Lifeline и пр., $1-2k розница, бум после 2023). Не Peloton — рутины под конкретное оборудование.","Подписка $14.99/мес, семейный $19.99/мес",150,"Glo $24/мес, Pilatesology $25/мес — оба растут. Категория «home reformer» взорвалась.","Женщина 35-55, купила домашний reformer, ходила в студию до 2020",5.7893609242314685,1.3885174088538061
Insomnia (CBT-I),Insomnia,insomnia CBT,650897,4,152,504693,2,171,456693,0,187,423514,1,208,425059,1,190,378356,2,262,0.6530357337643283,0.25,1.25,-0.1010526912515212,-0.2928932188134524,0.057371263440564,473202.0,10,1170,0.1918405275619311,True,"8-недельная программа когнитивно-поведенческой терапии инсомнии (CBT-I): дневник сна, протоколы stimulus-control, калькулятор sleep-restriction. Интеграция с Apple HealthKit. Это не Calm/Headspace (там медитация).",Подписка $12.99/мес или $79/год; тир B2B с возмещением через страховку,90,"Somryst FDA-cleared, $899 по рецепту (покрывается Medicare). Sleepio (UK NHS) продали Big Health за ~$10M ARR.","30-60, хроническая инсомния 3+ мес, пробовал мелатонин, врач сказал «попробуй CBT-I», но провайдера не найти",5.675046571516181,1.3524053318206495
CGM (continuous glucose monitor),Continuous_glucose_monitor,continuous glucose monitor,36840,7,901,40016,5,1159,37584,8,1192,58299,3,1256,113800,6,1524,95506,6,1952,3.0890336590662324,0.8571428571428571,1.6914539400665929,0.3257317585229644,-0.0378045418042385,0.1404205748298714,63674.16666666666,35,7984,0.3635363003272029,True,"Софт-only аналитика поверх Bluetooth-потока Dexcom/Libre. Корреляции «еда → глюкозный отклик», макро-трекинг, коучинг по похудению. Без поставки железа.",Подписка $19.99/мес (без накрутки за девайс) + B2B-тиф для телемед-клиник $99/место/мес,200,"Levels (с девайсом) $199/мес, NutriSense $250/мес — у обоих wait-list. Stelo (Dexcom OTC) запустили в 2024 за $99/мес в рознице.","Мужчина 30-55, биохакер/профессионал, носит Apple Watch, готов прилепить OTC-сенсор",4.803963269859658,1.347801083252624
Mast cell activation (MCAS),Mast_cell_activation_syndrome,MCAS mast cell,249632,0,19,230702,0,28,188951,0,19,221878,0,28,569651,0,18,458605,2,29,2.2819630496090246,,0.9473684210526316,0.229071510482133,,-0.0134258635132505,319903.1666666667,2,141,0.229071510482133,True,"Трекер триггеров «еда+окружение»: лог приёмов пищи, среды, симптомы с весом. Корреляционный движок выводит наиболее вероятные триггеры. Экспорт PDF для визита к врачу.",Подписка $9.99/мес + отчёт «AI doc-prep» $29 IAP перед каждым визитом,85,"MyMast, Bezzy MCAS — нишево, но юзеры engaged. Аудитория пересекается с histamine intolerance.","Женщина 25-50, годами без диагноза, гипер-engaged исследователь",5.5050185391120925,1.3108259981363921
Insulin resistance,Insulin_resistance,insulin resistance,250527,4,9299,316780,0,9609,224606,3,9217,217622,8,8490,212927,1,8944,189108,5,10463,0.8499163762788042,0.25,0.9618238520270996,-0.0398390274107681,-0.2928932188134524,-0.0096837949110973,235261.66666666663,21,56022,0.2530541914026842,True,"Дашборд для пре-диабетиков: A1c, глюкоза натощак, давление, окружность талии; логи «еда → метаболический отклик»; нутрицевтические протоколы (не общий counter калорий).","Подписка $9.99/мес + аффилиат-комиссии на supplements (берберин, инозитол) ~15%",90,"Signos $186/мес (с CGM), Verde Health, Welly Health. 96M американцев в pre-diabetic зоне по CDC.","40-60 с повышенным A1c (5.7-6.4), хочет избежать метформина, готов использовать CGM/анализы",5.371551169371654,1.2924781265095155
Tai chi,Tai_chi,tai chi,459112,15,405,412874,6,437,376913,8,461,450856,8,430,514261,10,524,432055,7,603,1.1201210162226212,0.6666666666666666,1.2938271604938272,0.0287651324148254,-0.0963979963901552,0.0665201521071425,441011.8333333333,54,2860,0.1251631288049807,True,Структурированный курс тай-чи для аудитории 50+ с коррекцией формы через камеру (MediaPipe pose detection). Польза: профилактика падений + когнитивная функция.,"Подписка $9.99/мес, тир «employer benefit» $4/сотрудник/мес",90,Клин-трайлы тай-чи подтверждают снижение падений; Medicare покрывает некоторые занятия. Доминирующего приложения нет.,"60-75, пригород, проблемные колени/спина, врач рекомендовал low-impact упражнения",5.644450242715959,1.2370910692851131
Endometriosis,Endometriosis,endometriosis,1068893,2,1921,1012772,3,2123,913949,2,2034,922145,1,2173,999716,2,2422,1010331,4,2749,0.9352816418481552,1.0,1.260801665799063,-0.0165877757226994,0.0,0.0596481725457949,987967.6666666666,14,13422,-0.0165877757226994,True,Трекер цикла + боли + обострений с timeline операций и медикаментов. PDF для подготовки к визиту. Реферал к специалистам по эндометриозу (их мало; высокий margin на комиссии).,Подписка $7.99/мес + комиссия с телемед-рефералов $50-150 за запись,90,"Phendo, Endo Health, Allara. Эндо у 10% женщин. Очередь к специалисту в среднем 7 лет.","Женщина 18-40, диагноз или подозревает, бесит что cycle-приложения игнорируют боль",5.9947427316139175,1.1996109569425721
POTS,Postural_orthostatic_tachycardia_syndrome,POTS,443180,16346,366,641632,12584,414,454290,14511,395,528192,16375,414,617207,16558,385,591673,19109,434,1.3926779186786409,1.0129695338309066,1.0519125683060109,0.086332249487381,0.0032267321341366,0.0127328817539078,546029.0,95483,2408,0.0831055173532444,True,"Трекер симптомов + пульс + поза (Apple Watch фиксирует HR-дельту при вставании). Ежедневные логи соли/жидкости, напоминания о приёме лекарств, PDF-экспорт для врача.",Подписка $9.99/мес + B2B-комиссия за телемед-рефералы (кардиология),80,POTUS Tracker бесплатный + реклама. Standing Up to POTS — донат-модель. Visible (Long COVID) пересекается по аудитории.,"Женщина 18-35, недавний диагноз или self-diagnosed, очередь к врачу 6 мес",5.737215709015207,1.194811124033442
