category,max_stars,n_oss_alternatives,coverage,n_sources,z_mrr,z_launches,z_stars,z_oss_n,z_demand,z_growth,opportunity_score
bi,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
documents,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
crm,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
file-sharing,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
error-tracking,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
scheduling,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
video,,1,oss,1,0.0,0.0,0.0,-0.8461873656887342,0.0,0.0,0.4230936828443671
time-tracking,,2,oss,1,0.0,0.0,0.0,-0.6309291761714246,0.0,0.0,0.3154645880857123
newsletter,,2,oss,1,0.0,0.0,0.0,-0.6309291761714246,0.0,0.0,0.3154645880857123
video-conferencing,,2,oss,1,0.0,0.0,0.0,-0.6309291761714246,0.0,0.0,0.3154645880857123
forms,,2,oss,1,0.0,0.0,0.0,-0.6309291761714246,0.0,0.0,0.3154645880857123
auth,,3,oss,1,0.0,0.0,0.0,-0.4156709866541151,0.0,0.0,0.20783549332705756
customer-support,,3,oss,1,0.0,0.0,0.0,-0.4156709866541151,0.0,0.0,0.20783549332705756
expense-tracking,,3,oss,1,0.0,0.0,0.0,-0.4156709866541151,0.0,0.0,0.20783549332705756
password-manager,,3,oss,1,0.0,0.0,0.0,-0.4156709866541151,0.0,0.0,0.20783549332705756
invoicing,,3,oss,1,0.0,0.0,0.0,-0.4156709866541151,0.0,0.0,0.20783549332705756
feature-flags,,4,oss,1,0.0,0.0,0.0,-0.20041279713680554,0.0,0.0,0.10020639856840277
monitoring,,4,oss,1,0.0,0.0,0.0,-0.20041279713680554,0.0,0.0,0.10020639856840277
code-search,,4,oss,1,0.0,0.0,0.0,-0.20041279713680554,0.0,0.0,0.10020639856840277
transactional-email,,5,oss,1,0.0,0.0,0.0,0.014845392380504042,0.0,0.0,-0.007422696190252021
ai-coding,,6,oss,1,0.0,0.0,0.0,0.23010358189781363,0.0,0.0,-0.11505179094890682
analytics,,7,oss,1,0.0,0.0,0.0,0.4453617714151232,0.0,0.0,-0.2226808857075616
billing,,7,oss,1,0.0,0.0,0.0,0.4453617714151232,0.0,0.0,-0.2226808857075616
project-management,,7,oss,1,0.0,0.0,0.0,0.4453617714151232,0.0,0.0,-0.2226808857075616
data-warehouse,,11,oss,1,0.0,0.0,0.0,1.3063945294843615,0.0,0.0,-0.6531972647421808
chat,,11,oss,1,0.0,0.0,0.0,1.3063945294843615,0.0,0.0,-0.6531972647421808
automation,,13,oss,1,0.0,0.0,0.0,1.7369109085189807,0.0,0.0,-0.8684554542594903
design,,14,oss,1,0.0,0.0,0.0,1.9521690980362902,0.0,0.0,-0.9760845490181451
knowledge-base,,20,oss,1,0.0,0.0,0.0,3.2437182351401477,0.0,0.0,-1.6218591175700738
