category,n_oss_alternatives,median_stars,max_stars,has_dominant_player,top_repos
ai-coding,6,,,False,[]
analytics,7,,,False,[]
auth,3,,,False,[]
automation,13,,,False,[]
bi,1,,,False,[]
billing,7,,,False,[]
chat,11,,,False,[]
code-search,4,,,False,[]
crm,1,,,False,[]
customer-support,3,,,False,[]
data-warehouse,11,,,False,[]
design,14,,,False,[]
documents,1,,,False,[]
error-tracking,1,,,False,[]
expense-tracking,3,,,False,[]
feature-flags,4,,,False,[]
file-sharing,1,,,False,[]
forms,2,,,False,[]
invoicing,3,,,False,[]
knowledge-base,20,,,False,[]
monitoring,4,,,False,[]
newsletter,2,,,False,[]
password-manager,3,,,False,[]
project-management,7,,,False,[]
scheduling,1,,,False,[]
time-tracking,2,,,False,[]
transactional-email,5,,,False,[]
video,1,,,False,[]
video-conferencing,2,,,False,[]
