source,category,owner,repo,saas_alternative
runa,API Gateway,apache,apisix,apigee
runa,API Platform,firecamp-dev,firecamp,Postman
runa,API Platform,apioo,fusio,Postman
runa,API Platform,hoppscotch,hoppscotch,Postman
runa,API Platform,keploy,keploy,Smartbear
runa,API Platform,stepci,stepci,Checkly
runa,Auth & SSO,boxyhq,jackson,
runa,Auth & SSO,cerbos,cerbos,Okta
runa,Auth & SSO,FusionAuth,fusionauth-containers,
runa,Auth & SSO,teamhanko,hanko,Okta
runa,Auth & SSO,keycloak,keycloak,Okta
runa,Auth & SSO,permitio,opal,Okta
runa,Auth & SSO,ory,kratos,Okta
runa,Auth & SSO,osohq,oso,Okta
runa,Auth & SSO,supertokens,supertokens-core,Okta
runa,Auth & SSO,warrant-dev,warrant,Okta
runa,Auth & SSO,zitadel,zitadel,
runa,Backend as a service,appy-one,acebase,Firebase
runa,Backend as a service,amplication,amplication,Firebase
runa,Backend as a service,appwrite,appwrite,Firebase
runa,Backend as a service,casejs,case,
runa,Backend as a service,encoredev,encore,
runa,Backend as a service,kuzzleio,kuzzle,Firebase
runa,Backend as a service,nhost,nhost,Firebase
runa,Backend as a service,pocketbase,pocketbase,
runa,Backend as a service,supabase,supabase,Firebase
runa,Business Intelligence,metabase,metabase,Tableau
runa,Business Intelligence,apache,superset,
runa,CMS,builderio,builder,Contentful
runa,CMS,concrete5,concrete5,
runa,CMS,decaporg,decap-cms,Contentful
runa,CMS,directus,directus,Contentful
runa,CMS,tryghost,ghost,Medium
runa,CMS,plasmicapp,plasmic,
runa,CMS,strapi,strapi,Contentful
runa,CMS,sulu,sulu,Contentful
runa,CMS,tinacms,tinacms,Contentful
runa,CMS,webiny,webiny-js,Contentful
runa,Cloud Data Warehouse,datafuselabs,databend,
runa,Cloud Development Environment,gitpod-io,gitpod,
runa,Cloud Storage,minio,minio,
runa,Cloud Storage,storj,storj,
runa,Cloud-Native Application Protection Platform,deepfence,ThreatMapper,
runa,Communication,fonoster,fonoster,
runa,Communication,novuhq,novu,
runa,Community Platform,CrowdDotDev,crowd.dev,
runa,Customer Data Platform,jitsucom,jitsu,Segment
runa,Customer Data Platform,rudderlabs,rudder-server,Segment
runa,Customer Data Platform,tracardi,tracardi,Segment
runa,Customer Engagement,chaskiq,chaskiq,Intercom
runa,Customer Engagement,chatwoot,chatwoot,Intercom
runa,Customer Engagement,papercups-io,papercups,Intercom
runa,Cybersecurity,cloudquery,cloudquery,
runa,Cybersecurity,crowdsecurity,crowdsec,
runa,Cybersecurity,infobyte,faraday,
runa,Cybersecurity,firezone,firezone,OpenVPN Access Server
