category,n,n_profitable,sum_rev30,p75_rev30,max_rev30
Marketing,11,4,125504.33847292398,6653.315,99321.87455905847
Travel,3,1,46836.7136092188,23418.3568046094,46317.00172457745
Artificial Intelligence,31,6,38716.50905867706,389.5167677716886,22835.65
Developer Tools,16,3,31839.012988701295,134.26324717532384,21253.57
SaaS,15,2,22507.04,257.0,20283.2
Sales,2,1,16317.18,12237.885,16317.18
Social Media,8,2,12308.15069020577,1177.8771477157238,7705.552099342875
Marketplace,3,1,9546.362296890204,4773.181148445102,9546.362296890204
E-commerce,3,1,5958.80585375725,2979.402926878625,5953.81585375725
No-Code,3,1,4178.55,2089.275,4178.55
Health & Fitness,7,1,3427.004494848956,260.5496478919195,2709.5851990651167
Recruiting & HR,6,1,3266.823969554324,533.6423242979317,2436.0546723625966
Education,9,1,1526.7045067576216,107.0,1078.14
Design Tools,4,1,1480.46187379342,370.115468448355,1480.46187379342
Productivity,15,0,843.646184296691,124.955,238.74
Analytics,12,0,715.2984117993723,102.35380884952917,206.56
Green Tech,1,0,169.40228803758265,169.40228803758265,169.40228803758265
Entertainment,2,0,165.38,124.035,165.38
Content Creation,6,0,125.41423334541896,0.0,125.41423334541896
Real Estate,1,0,66.50627039075032,66.50627039075032,66.50627039075032
Utilities,1,0,48.99,48.99,48.99
Mobile Apps,2,0,20.97,15.7275,20.97
Crypto & Web3,1,0,0.0,0.0,0.0
Community,1,0,0.0,0.0,0.0
Games,2,0,0.0,0.0,0.0
Fintech,2,0,0.0,0.0,0.0
IoT & Hardware,1,0,0.0,0.0,0.0
Uncategorized,3,0,0.0,0.0,0.0
