country,n,sum_rev30,n_profitable,p75_rev30,max_rev30
LT,27,135276.75303739723,4,390.3262263693161,99321.87455905847
EE,53,109129.50497463728,12,351.0104370881125,22835.65
UA,32,57020.93172457745,2,52.8675,46317.00172457745
LV,13,10368.130855058926,3,178.86929719172724,5953.81585375725
AZ,11,4347.26,1,136.19,3774.98
MD,8,4016.757356835712,1,364.0,3029.1319777631675
KZ,3,2370.88,2,1185.44,1218.15
RU,2,1172.98,1,832.315,1078.14
GE,4,1005.8307771483719,0,378.5433800682162,651.9
AM,8,546.4564775435249,0,4.972358157643622,535.84
UZ,10,313.78000000000003,0,3.7425,285.8
