name,slug,category,country,founded,target_audience,mrr,revenue_30d,revenue_total,customers,active_subs,growth_30d,growth_mrr_30d,rank,profitable
Defined Chase,defined-chase,Marketing,LT,2023-10-31T06:47:08.000Z,B2B,5937.12,99321.87455905847,2080353.0661638724,0,9,-1.7352268083343958,-0.6768672116436698,35.0,True
esim4u,esim4u,Travel,UA,2025-04-24T14:42:28.000Z,B2C,15.36,46317.00172457745,341747.8260996703,0,6,-1.223993049558944,88.73767474484909,176.0,True
*** OF PROMPT OÜ,of-prompt-o,Artificial Intelligence,EE,2024-11-21T00:00:00.000Z,B2B,5285.18,22835.65,558045.3339057387,2373,291,58.6859220025476,-17.724842603302214,121.0,True
Capgo,capgo,Developer Tools,EE,2021-11-30T00:00:00.000Z,B2B,19288.8,21253.57,409433.08851130126,448,626,-2.552467255105052,12.01426252689478,151.0,True
Crush AI,crush-ai,SaaS,LT,2026-01-11T00:00:00.000Z,,20406.0,20283.2,131078.2,0,249,-35.684026280408915,-30.667300896982876,320.0,True
Lancer.app,lancer-app,Sales,EE,2025-04-24T00:00:00.000Z,B2B,17332.0,16317.18,107483.76,0,79,-0.8802648995358529,-8.097742035261373,359.0,True
Avium,avium,Marketing,LT,2019-10-01T00:00:00.000Z,B2B,10550.0,11355.0,392197.409968947,11,5,26.166666666666664,12.23404255319149,157.0,True
Dotmarket.eu - Achat / vente de business web,dotmarket-eu,Marketplace,EE,2020-01-16T10:06:20.000Z,B2B,18500.43,9546.362296890204,1101184.610035832,1836,543,-25.128845022878437,-14.280399471579114,68.0,True
Replymer,belord-llc,Marketing,UA,2025-09-30T00:00:00.000Z,B2B,10030.0,9531.65,71878.84,90,68,-27.038641393083417,-11.80866965620329,436.0,True
Frontproxy,frontproxy,Developer Tools,EE,2019-11-01T00:00:00.000Z,B2B,9861.0,9061.0,77774.2220028221,0,6,134.6801346801347,78.93304300489929,417.0,True
RTMP.IN,rtmp-in,Social Media,EE,2021-07-22T00:00:00.000Z,B2C,7275.22,7705.552099342875,731215.8798436394,17,5,-31.1375242414516,-31.046632923466134,92.0,True
Eloking,eloking,E-commerce,LV,2021-12-19T00:00:00.000Z,B2C,0.0,5953.81585375725,1319450.4029646826,0,0,-7.898771659688757,0.0,53.0,True
LIZAONAIR,lizaonair,Social Media,EE,2022-03-16T00:00:00.000Z,B2C,0.0,4518.008590862895,332839.5772606361,2,0,5.4034250712487495,0.0,185.0,True
AtomicBot.ai,atomicbot-ai,Artificial Intelligence,EE,2026-02-09T00:00:00.000Z,B2C,3030.0,4269.61,19973.69578030617,0,133,-2.0445136866585103,-4.213134333925361,806.0,True
Anonymous startup,notion-tool-with-3k-mrr-80-margins-6-hrs-week-ops,No-Code,EE,,,4294.25,4178.55,105822.82,0,109,33.48080946828732,,364.0,True
MediaFast,mediafast-1,Marketing,AZ,2025-02-10T00:00:00.000Z,B2C,691.21,3774.98,22270.41,0,15,-36.57116165282145,51.1138803261844,769.0,True
Verbatik AI (Web + iOS app),verbatik-ai-web-ios-app,Artificial Intelligence,MD,2021-10-21T00:00:00.000Z,Both,3282.58,3029.1319777631675,88382.83723803528,0,122,-19.25690979504444,-7.428557999623986,401.0,True
ParseStream,parsestream,Artificial Intelligence,LV,2025-08-21T00:00:00.000Z,,3053.0,3014.31,14877.36,0,64,5.155728897757558,-5.038880248833593,898.0,True
Niyama.Academy,niyama-academy-by-nrx-ventures-o,Health & Fitness,EE,2023-10-06T02:04:28.000Z,B2C,1855.7,2709.5851990651167,46727.49647950752,214,80,101.57473997266868,-38.29976418227277,547.0,True
uCV,ucv,Recruiting & HR,EE,2023-08-01T00:00:00.000Z,Both,44.22,2436.0546723625966,31623.58047330178,0,2,2436.3115673482484,98.54718335066262,665.0,True
PrimeClaws,primeclaws,Artificial Intelligence,EE,2026-02-18T00:00:00.000Z,B2C,1024.08,1794.47,2735.13,0,92,90.76712095762552,99.21339981546753,1662.0,True
Wizlogo,wizlogo,Design Tools,LT,2020-12-21T00:00:00.000Z,B2C,3564.82,1480.46187379342,63748.177551360845,0,72,-9.8472160365922,-3.431430439706333,465.0,True
Qalta,qalta,Artificial Intelligence,KZ,2025-12-16T00:00:00.000Z,B2C,871.54,1218.15,6008.41,0,220,3.89516239082968,0.0,1271.0,True
MentionDesk,mentiondesk,SaaS,LV,2025-06-13T00:00:00.000Z,,910.0,1174.0,5892.41,0,15,28.30601092896175,2.708803611738149,1280.0,True
Nativelaunch,nativelaunch,Developer Tools,KZ,2025-08-03T00:00:00.000Z,B2C,0.0,1152.73,11318.78,0,0,43.03103247180275,0.0,1005.0,True
SQL Academy,sql-academy,Education,RU,2023-08-15T07:56:53.000Z,B2C,0.0,1078.14,10253.78,0,0,128.26473577235765,0.0,1052.0,True
Docswrite,docswrite,Marketing,LT,2024-01-04T14:17:59.000Z,,939.17,825.0,15196.3,0,19,-5.389908256880735,-4.765928680074362,883.0,False
POPJAM.IO,popjam-io,Artificial Intelligence,EE,2025-11-27T00:00:00.000Z,B2B,906.42,811.1272339131953,2870.068628012629,0,5,125.040028684546,61.59874767167054,1648.0,False
Remocate,remocate,Recruiting & HR,GE,2023-07-10T12:06:01.000Z,B2C,499.0,651.9,32157.51,0,1,-29.484683281412256,0.0,660.0,False
CreatorsKit,creatorskit,SaaS,AM,2025-12-17T00:00:00.000Z,B2C,677.0,535.84,6375.96,0,73,-57.51819493554476,-30.70624360286592,1239.0,False
Blue eSIM,blue-esim,Travel,LT,2024-09-28T09:45:20.000Z,B2C,0.0,519.7118846413497,4832.884613406382,0,0,-4.870608205846196,0.0,1370.0,False
CodeTrendy,codetrendy,SaaS,MD,2026-03-01T00:00:00.000Z,Both,0.0,496.0,1100.0,0,0,-17.744610281923716,0.0,2174.0,False
Rezly AI,rezly-ai,Artificial Intelligence,LT,2025-07-27T11:52:46.000Z,B2C,425.81,428.0230984552647,2111.157784031863,0,35,-19.524949016294023,-19.34361969723481,1790.0,False
Leadline,leadline,Marketing,LT,2025-10-28T00:00:00.000Z,Both,353.94,352.6293542833675,960.1665139069444,0,19,122.42694086398036,50.789055904043366,2264.0,False
AI voice calls,ai-voice-calls,Artificial Intelligence,EE,2025-07-13T00:00:00.000Z,,349.09,351.0104370881125,1178.4029535401266,0,2,29836.03389817392,29695.50563241353,2131.0,False
Speechyou,speechyou,Artificial Intelligence,MD,2025-10-07T00:00:00.000Z,B2B,410.0,320.0,1158.5,0,28,0.0,-3.5294117647058822,2145.0,False
Body Measurement Tracker & Log,body-measurement-tracker-log,Health & Fitness,UA,2025-07-28T00:00:00.000Z,B2C,14.75,289.35,933.82,0,13,37.19772403982931,0.0,2289.0,False
IQMax,iqmax,Education,GE,,,0.0,287.4245067576216,1717.2223617994875,0,0,-49.57594030905599,0.0,1922.0,False
screenflow.dev,screenflow-dev,Artificial Intelligence,UZ,2026-01-12T00:00:00.000Z,B2B,359.0,285.8,3352.91,0,16,-13.262518968133532,-30.42635658914729,1552.0,False
DayZen,dayzen,Productivity,LT,2026-01-01T00:00:00.000Z,B2C,51.67,238.74,1466.02,0,18,18.27594748575676,0.0,2014.0,False
Odoo Community Upgrade Tool,odoo-community-upgrade-tool,Developer Tools,EE,2026-02-02T00:00:00.000Z,B2B,0.0,232.04298870129543,511.4281611629167,0,0,0.0,0.0,2649.0,False
Livity,livity,Health & Fitness,LT,2025-04-25T08:43:58.000Z,B2C,0.0,231.749295783839,1708.8157754743938,0,0,-0.6578488014778265,0.0,1930.0,False
Redirectly,redirectly,Analytics,UA,2025-07-02T00:00:00.000Z,B2B,254.0,206.56,1730.15,0,5,0.0,0.0,1918.0,False
tinyCRM,tinycrm,Analytics,UA,2026-03-01T00:00:00.000Z,B2B,254.0,206.56,1730.15,0,5,0.0,0.0,1919.0,False
Indie Hacker Finance,indie-hacker-finance,Analytics,UA,2026-03-19T00:00:00.000Z,B2C,254.0,206.56,1730.15,0,5,0.0,0.0,1920.0,False
ExDetox,exdetox,Health & Fitness,AZ,2025-12-12T00:00:00.000Z,B2C,157.0283333333333,196.32,2342.93,30,30,-24.32640789422966,11.208113607108732,1734.0,False
Europass AI,europass-ai,Recruiting & HR,LV,2025-09-09T00:00:00.000Z,B2C,154.76,178.86929719172724,726.1209122930046,0,14,49.47386281436809,-31.52217529930712,2443.0,False
UAB KEIKA,uab-keika,Marketing,LT,2025-04-08T15:59:30.000Z,,230.48,172.74455958214213,23755.32732876856,201,2,-1.5814509350312786,-98.20551176602184,749.0,False
seosapient,seosapient,Artificial Intelligence,MD,2025-01-31T00:00:00.000Z,B2B,139.78,171.62537907254432,997.2752089773702,0,1,-2.076852330068862,-3.526368396441576,2237.0,False
Ecocruiser,ecocruiser,Green Tech,EE,2024-03-05T05:20:48.000Z,B2C,168.9,169.40228803758265,36320.774827573616,0,5,-92.2302471654054,-0.6159450063463465,618.0,False
Our Giftverse,our-giftverse,Entertainment,AZ,2025-10-01T00:00:00.000Z,B2C,0.0,165.38,1584.87,0,0,47.87195994277545,0.0,1971.0,False
Write It Down,write-it-down,Productivity,EE,2025-09-10T08:43:38.000Z,B2C,0.0,143.84,1896.27,0,0,-4.183320010658142,0.0,1856.0,False
NoteThisDown,notethisdown,Productivity,EE,2024-11-30T00:00:00.000Z,B2C,90.43,137.06400264321778,1470.105232789965,0,12,161.80494571835945,11.22716282775479,2013.0,False
Mybets.gg - AI Powered Sports Bet Tracker,mybets-gg-ai-powered-sports-bet-tracker,Productivity,EE,2026-01-13T00:00:00.000Z,B2C,89.93,129.91,469.67,0,7,8.33055370246831,-10.00700490343239,2704.0,False
FaiseurDeReine,faiseurdereine,Content Creation,EE,2024-05-08T00:00:00.000Z,B2C,0.0,125.41423334541896,15067.873104198288,0,0,0.0,0.0,891.0,False
Plantdiagrams,plantdiagrams,Productivity,EE,2025-08-10T00:00:00.000Z,B2B,5.0,120.0,120.0,0,1,,,3533.0,False
Keyword Kick,keyword-kick,Marketing,EE,2026-03-23T00:00:00.000Z,B2B,0.0,119.0,119.0,0,0,0.0,-100.0,3548.0,False
Studo,studo,Education,AZ,2025-08-29T00:00:00.000Z,B2C,0.0,107.0,791.637655268054,0,0,-5.311962998385533,0.0,2394.0,False
Screenshot Bro,screenshot-bro,Developer Tools,UA,2026-05-01T00:00:00.000Z,B2C,11.95,101.67,157.66,0,2,0.0,0.0,3370.0,False
0sec,0sec,Artificial Intelligence,RU,2025-08-22T00:00:00.000Z,B2C,87.75,94.84,322.26,0,8,4.391854705558608,0.0,2941.0,False
Void Analytics,kava-ir-kodas-uab,Analytics,LT,2023-11-01T00:00:00.000Z,B2B,67.52,67.61841179937224,1414.900736415133,23,4,-0.1547572307381275,-0.6710323130538235,2042.0,False
Stagify.io,stagify-io,Real Estate,GE,,B2B,103.96,66.50627039075032,1835.72805347798,0,4,-74.7856810930138,-25.181720043181,1882.0,False
Amplifresh,amplifresh,Social Media,UA,2025-05-01T00:00:00.000Z,B2C,72.0,64.5,2583.92,0,2,138.88888888888889,0.0,1698.0,False
RapidQuiz,rapidquiz,Education,AZ,2026-03-10T00:00:00.000Z,Both,69.93,54.14,163.63,0,7,-1.688759760305066,0.0,3342.0,False
HumanText.click,humantext-click,Utilities,UA,2025-10-30T00:00:00.000Z,B2B,58.98,48.99,268.75,0,3,601.8624641833811,247.55450795521517,3043.0,False
makeswms.com,makeswms-com,Productivity,LV,2025-12-17T00:00:00.000Z,B2C,41.49,41.45817697334235,104.31035690924418,0,2,-1.057902011619028,-0.972961517367246,3642.0,False
bangr.sh,bangr-sh,Developer Tools,EE,2026-04-11T00:00:00.000Z,B2B,38.0,38.0,42.7,0,2,708.5106382978722,0.0,4180.0,False
laxi.ai,laxi-ai,Artificial Intelligence,EE,2024-08-18T15:54:04.000Z,B2B,54.72,32.79093238477238,692.2775238969981,0,3,1.7065811933727155,-0.6722844332817348,2475.0,False
MediaFast,mediafast,Marketing,AZ,2025-02-10T00:00:00.000Z,B2C,28.47,28.47,14386.610973017823,0,1,-4.13958265624844,0.0,912.0,False
Craete,craete,Artificial Intelligence,EE,2020-08-24T10:01:43.000Z,B2C,32.0,24.0,4508.99,26,2,0.0,0.0,1410.0,False
Axerto,axerto,Marketing,UZ,2026-01-01T00:00:00.000Z,B2B,19.0,22.99,68.97,0,1,0.0,0.0,3905.0,False
superscribe.io,superscribe-io,Productivity,EE,2026-01-27T00:00:00.000Z,,18.0,22.32,109.44,0,2,10.714285714285715,-33.33333333333333,3611.0,False
Anonymous startup,stealth-app-3,Mobile Apps,AZ,2026-02-02T00:00:00.000Z,,20.97,20.97,37.18,3,3,29.36458975940776,29.36458975940776,4265.0,False
Pitch Pilot: Upwork jobs tracker,hyperbach-services-o,Artificial Intelligence,EE,2023-02-10T14:42:30.000Z,,29.98,20.0,751.55,20,3,0.0,19.96798719487796,2421.0,False
CommentHunter.click - Extract Social Media Comments,commenthunter-click-extract-social-media-comments,Social Media,UA,2026-03-11T00:00:00.000Z,B2B,49.95,19.98,59.94,0,5,0.0,150.0,3987.0,False
Ivanhoe Digital,ivanhoe-digital,Analytics,UA,2024-05-09T11:12:06.000Z,B2B,0.0,19.0,8556.46,0,0,-94.09552813946983,0.0,1132.0,False
Treendly,treendly,SaaS,EE,2020-02-28T00:00:00.000Z,B2C,304.24,18.0,49227.43077975684,0,29,-91.66666666666666,34.75757306676778,532.0,False
oneclick3d.io,oneclick3d-io,Artificial Intelligence,EE,2024-10-21T13:08:19.000Z,B2C,0.0,9.99,119.88,0,0,0.0,0.0,3539.0,False
MetricMap.tech - Analytics platform for SaaS and Ecommerce founders,metricmap-tech-analytics-platform-for-saas-and-ecommerce-founders,Analytics,UA,2025-09-19T00:00:00.000Z,B2B,9.0,9.0,36.0,0,1,0.0,0.0,4277.0,False
AI Recipe Generator,ai-recipe-generator,Artificial Intelligence,AM,2022-12-31T08:55:48.000Z,,5.98,5.98,467.66781411597145,27,2,0.0,0.0,2711.0,False
aiDoks,aidoks,Productivity,LV,2026-01-19T00:00:00.000Z,,5.65,5.67752713660604,5.67752713660604,0,1,,,4983.0,False
Savat,savat,E-commerce,UZ,2025-11-01T00:00:00.000Z,B2C,4.99,4.99,4.99,0,1,0.0,0.0,5038.0,False
Linker,linker,Productivity,AM,2022-06-13T11:50:29.000Z,Both,8.52,4.63647754352483,156.87296878280483,4540,2,-0.8845317656892474,-8.95395442250617,3374.0,False
Saymo,saymo,Social Media,UA,2025-03-01T00:00:00.000Z,B2C,0.11,0.11,0.78,0,1,0.0,0.0,5255.0,False
edvinasba,edvinasba,SaaS,LT,2021-03-01T07:50:27.000Z,B2C,0.0,0.0,8.884271958640687,0,0,0.0,0.0,4901.0,False
x11.social,x11-social,Social Media,EE,2020-02-17T18:38:48.000Z,B2C,0.0,0.0,99.0,12,0,0.0,0.0,3670.0,False
MB MPCSI,mb-mpcsi,Uncategorized,LT,2025-10-30T00:16:36.000Z,,0.0,0.0,18.02643692846539,2,0,0.0,0.0,4599.0,False
partners.shopify,partners-shopify,Uncategorized,LT,2023-05-29T17:43:52.000Z,,0.0,0.0,0.0,0,0,,,,False
Vignette ID - highway payment in EU,vignette-id,Travel,UA,2024-09-12T19:18:49.000Z,B2C,0.0,0.0,596056.4488046274,9,0,12.153405799991594,0.0,114.0,False
CatMRR: mobile apps verified revenues and listings,catmrr-mobile-apps-verified-revenues-and-listings,Marketplace,LT,2025-11-04T10:09:45.000Z,,0.0,0.0,0.0,0,0,,,,False
Design Critique,design-critique,Design Tools,EE,2024-02-12T09:26:21.000Z,B2B,0.0,0.0,440.5302958757909,0,0,0.0,0.0,2757.0,False
Larafast,larafast,Developer Tools,AM,2024-02-17T00:00:00.000Z,,0.0,0.0,82566.29,0,0,-100.0,0.0,409.0,False
getchase.ai,getchase-ai,Uncategorized,LT,2025-04-25T13:12:03.000Z,,3000.0,0.0,948.09,0,1,0.0,0.0,2274.0,False
Mues AI,mues-ai,Artificial Intelligence,EE,2025-05-16T07:39:24.000Z,B2B,0.0,0.0,900.0,0,0,0.0,0.0,2306.0,False
BusinessPlanez,businessplanez,Marketing,MD,2024-02-22T00:00:00.000Z,B2B,0.0,0.0,452.75,0,0,0.0,0.0,2733.0,False
Classifast,classifast,SaaS,LV,2025-05-07T00:00:00.000Z,B2B,0.0,0.0,49.0,0,0,-100.0,,4111.0,False
Toolbar,toolbar,Developer Tools,EE,2025-01-20T08:14:20.000Z,B2B,0.0,0.0,80.36337093415845,0,0,0.0,0.0,3805.0,False
Prepora,prepora,Education,UZ,2025-09-28T21:50:09.000Z,Both,0.0,0.0,0.0,0,0,,,,False
Tarot Go,tarot-go,Artificial Intelligence,UA,2025-05-26T11:49:03.000Z,B2C,0.0,0.0,13.96,0,0,-100.0,-100.0,4702.0,False
Xarchive,xarchive,Social Media,EE,2023-10-30T05:24:03.000Z,B2C,0.0,0.0,4.99,0,0,0.0,0.0,5030.0,False
VoiceJournal.io,voicejournal-io,Productivity,UA,2025-11-05T16:15:24.000Z,B2B,0.0,0.0,0.0,0,0,,,,False
LeadsFuel.io,leadsfuel-io,Sales,UA,2025-11-06T00:00:00.000Z,B2B,0.0,0.0,498.0,0,0,0.0,0.0,2675.0,False
Threadlabs Incorporated,threadlabs-incorporated,Social Media,EE,2025-06-18T16:58:42.000Z,B2C,0.0,0.0,0.0,0,0,,,,False
BeliveMRR,belivemrr,Analytics,EE,2025-12-17T22:50:14.000Z,,0.0,0.0,0.0,0,0,,,,False
InnoByte,innobyte,Artificial Intelligence,EE,2025-07-18T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
FastMCP,fastmcp,Developer Tools,KZ,2025-09-17T00:00:00.000Z,B2B,0.0,0.0,75.0,0,0,0.0,0.0,3847.0,False
MODDS.WATCH,modds-watch,IoT & Hardware,MD,2025-04-10T00:00:00.000Z,B2C,0.0,0.0,160.53,0,0,0.0,0.0,3355.0,False
"Porada, LLC",porada-llc,Education,UA,2023-08-14T11:56:52.000Z,Both,0.0,0.0,2494.6600000000003,0,0,0.0,0.0,1707.0,False
"Cliptext.me - Turn video and audio into clean, ready-to-use text in seconds",cliptext-me-turn-video-and-audio-into-clean-ready-to-use-text-in-seconds,Content Creation,UA,2025-09-05T00:00:00.000Z,Both,0.0,0.0,253.99,0,0,0.0,0.0,3082.0,False
PhotoMeh,photomeh,Artificial Intelligence,LV,2025-08-15T11:46:22.000Z,B2C,0.0,0.0,16.779468532409023,0,0,0.0,0.0,4634.0,False
Partners,partners,SaaS,MD,2025-10-27T19:37:31.000Z,B2B,0.0,0.0,0.0,0,0,,,,False
RealtimeForm: Build forms with AI,realtimeform-build-forms-with-ai,Artificial Intelligence,LT,2025-12-01T00:00:00.000Z,B2B,0.0,0.0,0.0,0,0,,,,False
ChatFolders,chatfolders,Productivity,UZ,2024-11-17T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
stagecaptions.io,stagecaptions-io,SaaS,LT,2026-01-22T00:00:00.000Z,B2B,0.0,0.0,499.443859238481,0,0,-100.0,0.0,2672.0,False
Mockerito,mockerito,Developer Tools,LT,2026-01-22T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
