category,n,n_profitable,sum_rev30,p75_rev30,max_rev30,n_habr_pain,median_score,oss_n_alternatives,ph_launches_12mo,opportunity_score
Marketing,11,4,125504.33847292398,6653.315,99321.87455905847,0,,6,12159.0,2.14710973778668
Travel,3,1,46836.7136092188,23418.3568046094,46317.00172457745,0,,0,3463.0,1.6849666681693949
Artificial Intelligence,31,6,38716.50905867706,389.5167677716886,22835.65,0,,8,14903.0,-1.206950585540696
Developer Tools,16,3,31839.012988701295,134.26324717532384,21253.57,19,58.0,59,13662.0,-6.351217136190719
SaaS,15,2,22507.04,257.0,20283.2,5,4.0,0,6550.0,-1.0973030321555386
Sales,2,1,16317.18,12237.885,16317.18,10,9.0,2,1842.0,5.157173482493064
Social Media,8,2,12308.15069020577,1177.8771477157238,7705.552099342875,0,,6,4204.0,1.118915597043607
Marketplace,3,1,9546.362296890204,4773.181148445102,9546.362296890204,0,,0,2616.0,3.4069405610446384
E-commerce,3,1,5958.80585375725,2979.402926878625,5953.81585375725,5,4.0,11,2616.0,6.518704670896143
No-Code,3,1,4178.55,2089.275,4178.55,0,,9,1322.0,-0.6955495726424819
Health & Fitness,7,1,3427.004494848956,260.5496478919195,2709.5851990651167,0,,0,580.0,0.7684550933972849
Recruiting & HR,6,1,3266.823969554324,533.6423242979317,2436.0546723625966,3,57.0,0,,1.7092401059268911
Education,9,1,1526.7045067576216,107.0,1078.14,0,,0,5164.0,2.713970560947098
Design Tools,4,1,1480.46187379342,370.115468448355,1480.46187379342,3,37.0,9,7338.0,-2.108872775597413
Productivity,15,0,843.646184296691,124.955,238.74,6,35.0,20,32141.0,-8.345137286290397
Analytics,12,0,715.2984117993723,102.35380884952917,206.56,0,,14,3300.0,-2.79369271306149
Green Tech,1,0,169.40228803758265,169.40228803758265,169.40228803758265,0,,0,,-7.957727564570749
Entertainment,2,0,165.38,124.035,165.38,0,,1,7929.0,0.1256262800162514
Content Creation,6,0,125.41423334541896,0.0,125.41423334541896,0,,11,2450.0,-0.7777257345984526
Real Estate,1,0,66.50627039075032,66.50627039075032,66.50627039075032,0,,0,5341.0,0.1181334011629757
Utilities,1,0,48.99,48.99,48.99,0,,0,,0.8639991519233897
Mobile Apps,2,0,20.97,15.7275,20.97,0,,0,,2.518320647971788
Crypto & Web3,1,0,0.0,0.0,0.0,0,,0,712.0,-0.5701338219883736
Community,1,0,0.0,0.0,0.0,0,,4,4204.0,2.8936090608347964
Games,2,0,0.0,0.0,0.0,0,,0,7929.0,1.5343374467248174
Fintech,2,0,0.0,0.0,0.0,0,,19,2841.0,-2.686752976718076
IoT & Hardware,1,0,0.0,0.0,0.0,0,,0,,4.367822028876917
Uncategorized,3,0,0.0,0.0,0.0,0,,0,,0.3058978754920504
