name,wiki_slug,query,wiki_2020,hn_2020,pm_2020,wiki_2021,hn_2021,pm_2021,wiki_2022,hn_2022,pm_2022,wiki_2023,hn_2023,pm_2023,wiki_2024,hn_2024,pm_2024,wiki_2025,hn_2025,pm_2025,wiki_5yr_x,hn_5yr_x,pm_5yr_x,wiki_cagr,hn_cagr,pm_cagr,wiki_avg_views,hn_total,pm_total,quiet_trend,passes_size_gate
Padel (hype control),Padel,padel,4116,606,18,7176,547,25,81816,627,27,528905,576,44,749925,774,42,802917,767,52,182.1975218658892,1.2772277227722773,2.3333333333333335,2.673970090442731,0.06308278171223924,0.23593091702244706,362475.8333333333,3897,208,2.610887308730492,True
VO2 max,VO2_max,VO2 max,562674,1148,140,443513,152,140,333222,52,162,300070,36,156,376070,52,141,288438,36,153,0.6683621421995685,0.04529616724738676,1.0071428571428571,-0.0958240303365564,-0.5386661052706634,0.0017809509549475688,383997.8333333333,1476,892,0.442842074934107,True
CGM (continuous glucose monitor),Continuous_glucose_monitor,continuous glucose monitor,36840,7,901,40016,5,1159,37584,8,1192,58299,3,1256,113800,6,1524,95506,6,1952,3.0890336590662324,0.8571428571428571,1.6914539400665927,0.32573175852296443,-0.037804541804238534,0.14042057482987147,63674.166666666664,35,7984,0.36353630032720297,True
Sarcopenia / strength 50+,Sarcopenia,sarcopenia,85450,0,2577,84307,0,3163,89699,0,3354,112981,2,3503,180121,0,3950,156543,0,5039,2.107911059098888,,1.5327900659681801,0.20493347678079465,,0.11268099260833786,118183.5,2,21586,0.20493347678079465,True
Red light therapy,Light_therapy,red light therapy,124974,2,485,95137,0,540,103779,0,537,105366,1,584,138978,1,703,82520,3,811,1.1120553075039608,0.5,1.4494845360824742,0.02690814095327876,-0.1591035847462855,0.09724445959504746,108459.0,7,3660,0.18601172569956426,True
Mitochondrial health,Mitochondrion,mitochondrial health,713014,5,5301,681419,5,5951,556808,0,6111,507840,5,6238,616496,3,7705,467540,6,10069,0.8646337940068498,0.6,1.4534993397472176,-0.03570913750889726,-0.11988826320660662,0.09800346266294135,590519.5,24,41375,0.08417912569770936,True
NAD+ supplementation,Nicotinamide_adenine_dinucleotide,NAD+ supplement,355221,0,74,338415,0,76,322974,2,97,355100,0,91,482046,0,87,439898,0,96,1.3570312565980052,,1.1756756756756757,0.07931313591452405,,0.04129044487603739,382275.6666666667,2,521,0.07931313591452405,True
Sauna / heat therapy,Sauna,sauna therapy,217994,0,34,210409,0,46,235754,0,33,292610,1,37,237754,3,29,210615,1,46,1.0906446966430268,,0.8529411764705882,0.02192923382475831,,-0.038985876699619504,234189.33333333334,5,225,0.02192923382475831,True
Senescence / senolytics,Cellular_senescence,senolytics,120005,2,196,83803,4,274,64254,1,324,63777,3,384,65989,1,487,43588,2,607,0.5498854214407733,0.5,2.4846938775510203,-0.1388713244601214,-0.1591035847462855,0.2555043520068485,73569.33333333333,13,2272,0.020232260286164094,True
Cold exposure / cold plunge,Cold_shower,cold plunge OR cold exposure,0,0,996,0,0,1060,0,0,1058,0,0,1038,0,0,1110,0,0,1343,,,1.1144578313253013,,,0.02746233438185941,0.0,0,6605,0.0,False
Perimenopause,Menopause,perimenopause,307840,0,322,268461,0,370,245008,0,360,256265,0,360,294161,0,435,274256,1,632,0.955564579002079,,1.3509316770186335,-0.011298915065139026,,0.07809826299161982,274331.8333333333,1,2479,-0.011298915065139026,True
Strength training for older adults,Strength_training,strength training older adults,246835,0,1382,197427,0,1411,183900,0,1110,167408,0,1073,226003,0,1816,159457,1,2661,0.9156035408268681,,1.3140376266280753,-0.02180178525822729,,0.07066091858539814,196838.33333333334,1,9453,-0.02180178525822729,True
Podiatry / foot health,Podiatry,podiatry OR podology,159198,0,455,124854,0,540,137578,0,522,137197,0,492,142221,0,614,64607,0,632,0.8933592130554404,,1.3494505494505495,-0.027797955277420017,,0.07780264145584881,127609.16666666667,0,3255,-0.027797955277420017,True
GLP-1 / Ozempic (hype control),Glucagon-like_peptide-1_receptor_agonist,GLP-1 OR ozempic,83960,0,1925,76929,0,2229,70522,0,2271,119816,0,2481,45206,0,3892,31620,0,5982,0.538423058599333,,2.021818181818182,-0.14339439318292413,,0.19243722292598253,71342.16666666667,0,18780,-0.14339439318292413,True
Bloodwork tracking,Blood_test,bloodwork tracker,176814,0,0,145140,0,0,138505,2,0,100525,0,0,86626,0,0,56566,1,0,0.4899272682027441,,,-0.16337102202452292,,,117362.66666666667,3,0,-0.16337102202452292,True
Longevity (umbrella),Longevity,longevity,131796,76,4037,136318,74,4701,131344,77,4944,124526,144,5217,123393,138,5816,97095,179,6560,0.9362423745788947,1.8157894736842106,1.4406737676492445,-0.016335329681991362,0.1608239865893859,0.09557323063748302,124078.66666666667,688,31275,-0.17715931627137727,True
HRV / heart-rate variability,Heart_rate_variability,heart rate variability,232581,2,3477,242044,3,3814,213570,5,3602,254423,6,3366,307661,5,3679,201878,6,4363,1.3228122675540994,2.5,1.0580960598216853,0.07244382626240298,0.2574334296829355,0.01421790727435046,242026.16666666666,27,22301,-0.1849896034205325,True
