category,n_startups,pct_earner,pct_profitable,median_rev30,p75_rev30,p90_rev30,max_rev30,sum_rev30,median_rev_among_earners,median_mrr,median_growth_30d,pct_growing,median_customers
Sales,66,0.5151515151515151,0.21212121212121213,43.380586391264245,718.75,4545.48,78632.94,156504.40761568624,708.5,0.0,0.0,0.425531914893617,0.0
IoT & Hardware,10,0.6,0.2,13.688862571116408,676.4175,8420.785189904625,10133.194688466489,19314.97988145092,461.945,0.0,0.0,0.125,0.0
Community,68,0.5,0.19117647058823528,3.761098089819408,617.025,3776.728959561812,29378.456573702246,130763.65499179056,625.05,0.0,0.0,0.2830188679245283,0.0
Education,312,0.5416666666666666,0.1762820512820513,11.771432956181158,460.66052017068563,3542.1317752667983,200210.1,813967.072246945,413.307870872099,0.0,0.0,0.28185328185328185,0.0
E-commerce,136,0.5441176470588235,0.20588235294117646,10.51419872938202,446.83000000000004,5584.711726741447,7143937.999999995,11206562.203830648,368.64211831099914,0.0,0.0,0.25471698113207547,0.0
Mobile Apps,318,0.7327044025157232,0.16981132075471697,40.74,445.76,2616.7820000000015,98527.22,511255.1604302612,151.64000000000001,29.395,0.0,0.28846153846153844,0.0
Marketplace,85,0.4,0.23529411764705882,0.0,443.2931263003887,8611.817378134143,189339.4,588882.1189667379,1704.8277149333694,0.0,0.0,0.3114754098360656,0.0
Games,66,0.5757575757575758,0.19696969696969696,4.951587885135188,386.4769705877495,3390.440604257545,32302.0,111713.2066966598,237.11,0.0,0.0,0.25,0.0
Marketing,381,0.5354330708661418,0.1732283464566929,15.0,373.3514586157398,4820.3,698663.61,2003799.4582733281,343.01,0.0,0.0,0.31756756756756754,0.0
Security,45,0.4,0.13333333333333333,0.0,334.14841631659294,1583.3660200732713,292083.8,364133.17380223604,817.8486377757438,0.0,0.0,0.3235294117647059,0.0
Travel,51,0.45098039215686275,0.19607843137254902,0.0,292.7970216296633,5833.075702170381,421186.44,511635.7842700639,342.0,0.0,0.0,0.28125,0.0
Health & Fitness,244,0.639344262295082,0.13114754098360656,19.895,280.64812182790587,1391.7520000000002,211860.05526851173,418755.1179585387,106.375,12.545,0.0,0.2523809523809524,0.0
Artificial Intelligence,1650,0.5593939393939394,0.14606060606060606,12.0,245.7,2059.898000000001,522234.63,3119477.063972855,186.0,0.0,0.0,0.26651651651651653,0.0
Real Estate,62,0.5161290322580645,0.14516129032258066,5.285441421070113,242.4675,1583.2723488287443,19754.3,54203.30844229914,236.66500000000002,0.0,0.0,0.3488372093023256,0.0
Entertainment,93,0.5161290322580645,0.17204301075268819,2.99,233.55,3677.028719342119,502645.14,627265.5478620584,211.775,0.0,0.0,0.3194444444444444,0.0
Social Media,131,0.549618320610687,0.183206106870229,12.459468464666623,208.61,2501.0,115735.04,294820.6066653915,150.87723572472848,0.0,0.0,0.38095238095238093,0.0
Design Tools,172,0.4941860465116279,0.10465116279069768,0.0,176.93649088726522,1060.4541683743914,58137.6,199934.39609135504,179.98596354906095,0.0,0.0,0.26515151515151514,0.0
Content Creation,338,0.5207100591715976,0.14497041420118342,3.97,169.88270873336245,1928.7835338005043,2844651.94697744,3334864.1214935705,157.97656580389662,0.0,0.0,0.26053639846743293,0.0
Green Tech,5,0.6,0.0,19.98,169.40228803758265,183.24891521503307,192.48,381.86228803758263,169.40228803758265,9.0,-68.8802139978483,0.0,0.0
News & Magazines,26,0.6153846153846154,0.11538461538461539,11.370000000000001,165.92402770438852,1899.5,7182.761323460666,16339.166796865948,108.19212729321295,12.83,-11.35355118216117,0.22727272727272727,0.0
No-Code,52,0.4423076923076923,0.1346153846153846,0.0,160.0,1138.805,5325.47,20859.376053564087,244.19288548194524,0.0,0.0,0.3055555555555556,0.0
Recruiting & HR,96,0.5,0.09375,0.495,149.44364043482008,845.5,14589.044610973044,53939.16382111776,149.88728086964016,0.0,0.0,0.2753623188405797,0.0
Utilities,151,0.5827814569536424,0.09271523178807947,13.0,139.105,809.5865774720476,16801.73,62557.271545145966,106.9790052149528,0.0,0.0,0.28688524590163933,0.0
Uncategorized,545,0.3651376146788991,0.14495412844036698,0.0,128.7,4458.084000000003,857621.6111514034,3566652.5028806613,473.0,0.0,0.0,0.26129032258064516,0.0
Legal,21,0.42857142857142855,0.14285714285714285,0.0,108.32427040310796,1017.99,54847.51,58453.859546502674,187.97,0.0,0.0,0.3076923076923077,0.0
SaaS,649,0.4714946070878274,0.13097072419106318,0.0,104.0,1720.3538168449004,410205.93,1397071.6015248718,128.93531982215796,0.0,0.0,0.25630252100840334,0.0
Developer Tools,452,0.4491150442477876,0.09734513274336283,0.0,99.25,973.0460000000031,32910.62167108881,330537.0269397246,136.69751700467657,0.0,0.0,0.256797583081571,0.0
Fintech,193,0.48704663212435234,0.07253886010362694,0.0,77.4,521.1179608513336,19844.390307507467,100601.38271340457,80.80499999999999,0.0,0.0,0.2702702702702703,0.0
Crypto & Web3,24,0.4166666666666667,0.125,0.0,60.0,1060.607444191186,5742.174178649909,11588.062946083386,363.5,0.0,0.0,0.2631578947368421,0.0
Analytics,193,0.45077720207253885,0.09326424870466321,0.0,58.0,923.3420000000004,194087.05,392748.58958091855,117.69,0.0,0.0,0.23308270676691728,0.0
Productivity,451,0.45454545454545453,0.0598669623059867,0.0,56.04275375987602,430.9628856929348,223299.65,477083.1563761698,75.0,0.0,0.0,0.21301775147928995,0.0
Customer Support,44,0.38636363636363635,0.1590909090909091,0.0,49.0,1530.490000000001,28806.472375241276,68016.20052530571,284.8139292794133,0.0,0.0,0.17647058823529413,0.0
