industry,n,n_2024_plus,recent_share
B2B,3030,819,0.2702970297029703
Consumer,870,102,0.11724137931034483
Healthcare,673,111,0.1649331352154532
Fintech,629,83,0.13195548489666137
"Engineering, Product and Design",601,189,0.3144758735440932
Industrials,386,112,0.29015544041450775
Infrastructure,295,84,0.2847457627118644
Productivity,225,44,0.19555555555555557
Marketing,165,20,0.12121212121212122
Real Estate and Construction,153,26,0.16993464052287582
Operations,144,36,0.25
Healthcare IT,141,35,0.24822695035460993
Sales,136,31,0.22794117647058823
Finance and Accounting,135,30,0.2222222222222222
Supply Chain and Logistics,134,27,0.20149253731343283
Retail,130,10,0.07692307692307693
Analytics,127,27,0.2125984251968504
Education,125,13,0.104
Payments,124,12,0.0967741935483871
Home and Personal,122,0,0.0
Consumer Health and Wellness,114,6,0.05263157894736842
Security,113,25,0.22123893805309736
Content,113,17,0.1504424778761062
Social,113,5,0.04424778761061947
Manufacturing and Robotics,106,37,0.3490566037735849
Food and Beverage,93,0,0.0
Consumer Finance,89,10,0.11235955056179775
Human Resources,83,8,0.0963855421686747
Housing and Real Estate,80,7,0.0875
Credit and Lending,73,4,0.0547945205479452
Healthcare Services,72,5,0.06944444444444445
Recruiting and Talent,71,8,0.11267605633802817
Gaming,69,8,0.11594202898550725
Banking and Exchange,69,6,0.08695652173913043
Therapeutics,63,11,0.1746031746031746
Aviation and Space,61,19,0.3114754098360656
Insurance,60,16,0.26666666666666666
Drug Discovery and Delivery,57,10,0.17543859649122806
Diagnostics,56,1,0.017857142857142856
Legal,56,23,0.4107142857142857
Climate,52,5,0.09615384615384616
Asset Management,52,6,0.11538461538461539
Apparel and Cosmetics,50,1,0.02
Energy,47,13,0.2765957446808511
Construction,47,10,0.2127659574468085
Medical Devices,44,1,0.022727272727272728
Consumer Electronics,44,6,0.13636363636363635
Government,41,14,0.34146341463414637
"Travel, Leisure and Tourism",35,3,0.08571428571428572
Industrial Bio,32,3,0.09375
Agriculture,30,4,0.13333333333333333
Transportation Services,27,1,0.037037037037037035
Office Management,24,1,0.041666666666666664
Drones,22,6,0.2727272727272727
Automotive,21,2,0.09523809523809523
Job and Career Services,20,2,0.1
Virtual and Augmented Reality,20,1,0.05
Defense,17,9,0.5294117647058824
