tag,n,n_active,n_acquired,n_dead,n_2024_plus,n_2022_plus,n_2020_plus,alive_rate,recent_share
B2B,1101,893,107,100,257,598,881,0.8110808356039964,0.23342415985467757
SaaS,1099,790,172,136,150,453,792,0.718835304822566,0.1364877161055505
Artificial Intelligence,932,792,61,79,357,590,711,0.8497854077253219,0.3830472103004292
AI,820,733,36,51,342,566,659,0.8939024390243903,0.4170731707317073
Fintech,699,526,92,81,68,271,491,0.7525035765379113,0.09728183118741059
Developer Tools,540,404,66,68,143,284,401,0.7481481481481481,0.26481481481481484
Marketplace,304,191,37,74,15,65,148,0.6282894736842105,0.049342105263157895
Generative AI,259,212,22,25,81,193,223,0.8185328185328186,0.3127413127413127
Consumer,241,194,21,26,68,146,180,0.8049792531120332,0.2821576763485477
Machine Learning,228,158,34,36,39,98,156,0.6929824561403509,0.17105263157894737
Healthcare,203,170,12,21,41,102,143,0.8374384236453202,0.2019704433497537
E-commerce,190,128,25,34,16,58,122,0.6736842105263158,0.08421052631578947
Analytics,184,109,45,29,30,84,114,0.592391304347826,0.16304347826086957
Health Tech,176,136,12,27,31,73,109,0.7727272727272727,0.17613636363636365
Open Source,166,120,32,13,38,93,131,0.7228915662650602,0.2289156626506024
Productivity,165,107,22,36,40,85,119,0.6484848484848484,0.24242424242424243
Education,164,109,27,28,16,33,81,0.6646341463414634,0.0975609756097561
AI Assistant,158,138,6,14,63,114,135,0.8734177215189873,0.3987341772151899
Payments,148,112,20,16,14,67,100,0.7567567567567568,0.0945945945945946
API,146,105,23,18,25,81,107,0.7191780821917808,0.17123287671232876
Climate,141,101,14,25,8,48,94,0.7163120567375887,0.05673758865248227
Hardware,139,102,12,25,30,43,61,0.7338129496402878,0.2158273381294964
Biotech,137,116,6,13,27,58,92,0.8467153284671532,0.19708029197080293
Logistics,132,101,10,21,23,55,78,0.7651515151515151,0.17424242424242425
Sales,120,93,7,20,33,80,97,0.775,0.275
Enterprise Software,117,104,7,6,40,71,83,0.8888888888888888,0.3418803418803419
Infrastructure,116,104,3,9,55,83,94,0.896551724137931,0.47413793103448276
Digital Health,112,92,7,13,20,49,77,0.8214285714285714,0.17857142857142858
Robotics,112,95,4,13,32,41,61,0.8482142857142857,0.2857142857142857
Marketing,107,82,8,16,26,57,68,0.7663551401869159,0.24299065420560748
Consumer Health Services,105,83,7,15,6,27,71,0.7904761904761904,0.05714285714285714
Enterprise,104,69,16,19,22,65,80,0.6634615384615384,0.21153846153846154
Data Engineering,100,64,19,17,19,49,79,0.64,0.19
Hard Tech,96,83,4,9,22,40,64,0.8645833333333334,0.22916666666666666
Finance,92,78,6,8,33,59,72,0.8478260869565217,0.358695652173913
Crypto / Web3,92,63,9,19,8,43,64,0.6847826086956522,0.08695652173913043
Video,91,51,20,20,21,33,47,0.5604395604395604,0.23076923076923078
Security,89,60,16,13,14,36,52,0.6741573033707865,0.15730337078651685
Automation,87,75,6,5,37,55,63,0.8620689655172413,0.42528735632183906
Gaming,86,45,14,27,8,26,40,0.5232558139534884,0.09302325581395349
Manufacturing,86,75,1,10,25,40,49,0.872093023255814,0.29069767441860467
Supply Chain,83,69,4,10,22,38,56,0.8313253012048193,0.26506024096385544
Proptech,83,60,9,14,12,43,65,0.7228915662650602,0.14457831325301204
Real Estate,81,52,16,13,13,38,46,0.6419753086419753,0.16049382716049382
Computer Vision,80,58,10,11,22,33,48,0.725,0.275
HR Tech,75,63,9,3,13,32,51,0.84,0.17333333333333334
Workflow Automation,75,66,2,7,37,53,63,0.88,0.49333333333333335
Insurance,74,54,9,11,16,34,45,0.7297297297297297,0.21621621621621623
Social,73,28,12,33,5,14,30,0.3835616438356164,0.0684931506849315
Compliance,72,65,4,3,22,50,59,0.9027777777777778,0.3055555555555556
Medical Devices,69,50,10,9,2,15,35,0.7246376811594203,0.028985507246376812
Recruiting,64,48,9,7,8,15,34,0.75,0.125
Construction,64,49,3,11,12,31,45,0.765625,0.1875
Design Tools,59,41,6,12,13,22,36,0.6949152542372882,0.22033898305084745
Community,58,26,15,17,1,6,30,0.4482758620689655,0.017241379310344827
Investing,58,39,7,11,11,25,33,0.6724137931034483,0.1896551724137931
AIOps,58,49,5,4,22,40,44,0.8448275862068966,0.3793103448275862
Delivery,54,29,8,16,1,10,30,0.5370370370370371,0.018518518518518517
LegalTech,52,40,4,8,16,26,34,0.7692307692307693,0.3076923076923077
DevOps,50,31,5,13,13,24,33,0.62,0.26
Entertainment,50,33,6,11,9,21,33,0.66,0.18
Neobank,49,41,1,7,7,33,43,0.8367346938775511,0.14285714285714285
eLearning,49,36,6,7,1,9,34,0.7346938775510204,0.02040816326530612
Cloud Computing,49,35,5,9,13,25,29,0.7142857142857143,0.2653061224489796
Retail,48,24,9,14,2,13,21,0.5,0.041666666666666664
Food Tech,48,30,8,10,2,15,26,0.625,0.041666666666666664
Travel,47,32,8,6,9,15,23,0.6808510638297872,0.19148936170212766
Conversational AI,47,44,1,2,27,36,39,0.9361702127659575,0.574468085106383
GovTech,47,38,6,3,13,20,26,0.8085106382978723,0.2765957446808511
Therapeutics,46,41,1,3,10,24,38,0.8913043478260869,0.21739130434782608
Collaboration,45,24,9,12,2,13,19,0.5333333333333333,0.044444444444444446
Health & Wellness,45,33,3,9,5,10,29,0.7333333333333333,0.1111111111111111
AI-Enhanced Learning,44,40,1,3,12,26,35,0.9090909090909091,0.2727272727272727
IoT,44,21,13,10,1,3,10,0.4772727272727273,0.022727272727272728
Media,44,22,13,9,10,15,19,0.5,0.22727272727272727
Advertising,43,22,12,9,6,15,19,0.5116279069767442,0.13953488372093023
Energy,41,33,3,5,8,21,28,0.8048780487804879,0.1951219512195122
Cybersecurity,41,27,10,4,14,21,28,0.6585365853658537,0.34146341463414637
Messaging,40,16,7,17,2,6,11,0.4,0.05
E-Commerce,40,7,11,22,0,1,4,0.175,0.0
Deep Learning,39,32,4,3,8,12,21,0.8205128205128205,0.20512820512820512
Subscriptions,39,20,6,13,1,10,26,0.5128205128205128,0.02564102564102564
Healthcare IT,39,35,3,1,12,25,32,0.8974358974358975,0.3076923076923077
Mental Health Tech,39,31,5,3,0,9,25,0.7948717948717948,0.0
Legal,39,32,5,2,17,24,26,0.8205128205128205,0.4358974358974359
Aerospace,38,35,1,2,15,21,27,0.9210526315789473,0.39473684210526316
Transportation,37,25,4,8,4,12,17,0.6756756756756757,0.10810810810810811
No-code,37,30,4,3,11,22,32,0.8108108108108109,0.2972972972972973
AI-powered Drug Discovery,37,31,2,4,7,12,26,0.8378378378378378,0.1891891891891892
Sales Enablement,36,26,4,6,10,22,29,0.7222222222222222,0.2777777777777778
India,36,20,7,8,0,6,16,0.5555555555555556,0.0
DevSecOps,34,21,9,3,2,11,19,0.6176470588235294,0.058823529411764705
Operations,34,29,2,3,17,23,26,0.8529411764705882,0.5
Creator Economy,33,24,3,6,4,14,25,0.7272727272727273,0.12121212121212122
Documents,33,23,8,2,7,16,22,0.696969696969697,0.21212121212121213
Agriculture,33,22,3,8,6,10,15,0.6666666666666666,0.18181818181818182
Social Media,32,18,8,6,10,11,14,0.5625,0.3125
Drones,32,24,2,6,7,9,13,0.75,0.21875
Consumer Finance,32,28,1,3,13,19,27,0.875,0.40625
Data Science,32,23,1,8,13,20,23,0.71875,0.40625
Drug discovery,32,28,0,3,7,15,23,0.875,0.21875
Diagnostics,31,20,4,4,1,7,16,0.6451612903225806,0.03225806451612903
Grocery,31,20,3,7,0,4,17,0.6451612903225806,0.0
Customer Support,31,25,2,4,10,24,26,0.8064516129032258,0.3225806451612903
Robotic Process Automation,31,25,3,3,10,18,24,0.8064516129032258,0.3225806451612903
ClimateTech,30,22,3,5,5,16,22,0.7333333333333333,0.16666666666666666
Data Visualization,30,19,5,5,8,16,23,0.6333333333333333,0.26666666666666666
FinOps,30,24,4,2,6,16,26,0.8,0.2
Synthetic Biology,30,29,0,0,8,16,25,0.9666666666666667,0.26666666666666666
Reinforcement Learning,29,24,2,3,17,20,20,0.8275862068965517,0.5862068965517241
Telemedicine,29,21,2,6,0,7,21,0.7241379310344828,0.0
Design,29,20,2,7,12,17,20,0.6896551724137931,0.41379310344827586
Email,29,17,6,6,9,11,15,0.5862068965517241,0.3103448275862069
Food & Beverage,28,14,2,12,3,5,10,0.5,0.10714285714285714
Telecommunications,28,22,2,4,6,9,16,0.7857142857142857,0.21428571428571427
Telehealth,27,18,3,6,1,9,18,0.6666666666666666,0.037037037037037035
Industrial,27,23,0,4,15,16,17,0.8518518518518519,0.5555555555555556
Genomics,27,16,5,5,1,3,10,0.5925925925925926,0.037037037037037035
Customer Success,26,19,2,5,6,17,21,0.7307692307692307,0.23076923076923078
Big Data,26,18,6,2,10,13,17,0.6923076923076923,0.38461538461538464
Health Insurance,26,20,4,2,4,11,19,0.7692307692307693,0.15384615384615385
Banking as a Service,26,22,1,3,0,9,15,0.8461538461538461,0.0
Nonprofit,25,21,1,3,0,2,6,0.84,0.0
Electric Vehicles,24,17,1,6,1,7,17,0.7083333333333334,0.041666666666666664
Web Development,24,19,3,2,7,14,18,0.7916666666666666,0.2916666666666667
Databases,24,15,6,3,6,13,17,0.625,0.25
Augmented Reality,23,9,4,10,2,3,6,0.391304347826087,0.08695652173913043
Social Network,23,13,4,6,5,5,9,0.5652173913043478,0.21739130434782608
Automotive,23,18,3,2,9,14,14,0.782608695652174,0.391304347826087
NLP,21,11,7,3,2,7,10,0.5238095238095238,0.09523809523809523
Customer Service,21,16,3,2,5,10,12,0.7619047619047619,0.23809523809523808
Human Resources,21,12,8,1,2,6,11,0.5714285714285714,0.09523809523809523
CRM,21,14,1,6,5,10,12,0.6666666666666666,0.23809523809523808
Regtech,21,19,1,1,5,14,17,0.9047619047619048,0.23809523809523808
Latin America,20,15,2,3,1,4,13,0.75,0.05
Music,20,4,6,10,3,5,7,0.2,0.15
Fitness,20,13,2,5,3,5,15,0.65,0.15
Housing,20,11,2,7,3,4,10,0.55,0.15
Fashion,20,8,1,11,0,2,4,0.4,0.0
Satellites,20,19,0,1,3,10,16,0.95,0.15
Oncology,20,17,1,1,5,11,14,0.85,0.25
ML,20,19,1,0,5,11,13,0.95,0.25
Edtech,19,15,2,2,4,8,13,0.7894736842105263,0.21052631578947367
Solar Power,19,14,1,3,4,11,13,0.7368421052631579,0.21052631578947367
Privacy,19,14,1,4,2,7,10,0.7368421052631579,0.10526315789473684
Search,18,13,1,4,9,16,17,0.7222222222222222,0.5
Retail Tech,18,10,3,5,4,4,8,0.5555555555555556,0.2222222222222222
Data Labeling,18,15,3,0,8,12,13,0.8333333333333334,0.4444444444444444
Team Collaboration,18,10,3,5,2,3,5,0.5555555555555556,0.1111111111111111
Sports Tech,18,10,1,7,4,6,10,0.5555555555555556,0.2222222222222222
Lending,17,14,2,1,5,9,15,0.8235294117647058,0.29411764705882354
Payroll,17,13,3,1,4,10,12,0.7647058823529411,0.23529411764705882
Renewable Energy,17,10,1,6,4,9,11,0.5882352941176471,0.23529411764705882
Market Research,17,15,1,1,6,9,12,0.8823529411764706,0.35294117647058826
Remote Work,16,11,3,2,2,4,11,0.6875,0.125
Monitoring,16,10,4,1,5,8,9,0.625,0.3125
Space Exploration,16,13,0,2,1,3,9,0.8125,0.0625
SMB,15,10,1,4,4,6,8,0.6666666666666666,0.26666666666666666
Biotechnology,15,13,1,1,5,7,10,0.8666666666666667,0.3333333333333333
Women's Health,15,10,2,3,1,4,8,0.6666666666666666,0.06666666666666667
Identity,15,10,4,1,1,8,11,0.6666666666666666,0.06666666666666667
Neurotechnology,15,10,2,3,1,4,6,0.6666666666666666,0.06666666666666667
Consumer Products,15,13,0,2,2,4,6,0.8666666666666667,0.13333333333333333
Mobility,14,7,3,4,1,2,5,0.5,0.07142857142857142
Gene Therapy,14,13,0,1,3,6,8,0.9285714285714286,0.21428571428571427
Sustainability,14,8,2,4,1,1,4,0.5714285714285714,0.07142857142857142
Energy Storage,14,10,1,3,4,7,10,0.7142857142857143,0.2857142857142857
Restaurant Tech,14,7,3,3,2,4,6,0.5,0.14285714285714285
Kubernetes,14,12,2,0,1,6,10,0.8571428571428571,0.07142857142857142
DeFi,14,8,2,4,0,7,10,0.5714285714285714,0.0
Procurement,13,9,3,1,3,4,8,0.6923076923076923,0.23076923076923078
Warehouse Management Tech,13,10,2,1,1,4,9,0.7692307692307693,0.07692307692307693
Virtual Reality,13,9,0,4,0,6,8,0.6923076923076923,0.0
Carbon Capture and Removal,13,9,1,3,0,3,10,0.6923076923076923,0.0
Home Services,12,9,0,3,4,7,8,0.75,0.3333333333333333
Trading,12,9,1,2,2,5,8,0.75,0.16666666666666666
Semiconductors,12,12,0,0,5,7,8,1.0,0.4166666666666667
3D Printing,12,7,1,4,1,1,2,0.5833333333333334,0.08333333333333333
Electronics,11,9,1,1,6,7,8,0.8181818181818182,0.5454545454545454
Ghost Kitchens,11,3,2,6,0,1,9,0.2727272727272727,0.0
Autonomous Trucking,11,5,3,2,0,0,4,0.45454545454545453,0.0
Food Service Robots & Machines,11,6,1,3,0,0,3,0.5454545454545454,0.0
Airplanes,11,10,1,0,0,4,7,0.9090909090909091,0.0
Food,10,7,0,3,0,2,5,0.7,0.0
Personalization,10,4,4,2,2,2,3,0.4,0.2
Beauty,10,8,1,1,0,0,3,0.8,0.0
Cryptocurrency,10,7,1,2,1,8,9,0.7,0.1
Nanotechnology,10,7,0,3,0,3,4,0.7,0.0
Mental Health,10,10,0,0,2,2,8,1.0,0.2
Chatbot,10,9,1,0,0,4,7,0.9,0.0
Scheduling,10,5,3,2,0,1,4,0.5,0.0
Fraud Detection,9,8,1,0,1,5,6,0.8888888888888888,0.1111111111111111
Call Center,9,8,0,1,6,8,8,0.8888888888888888,0.6666666666666666
Crowdfunding,9,5,2,2,0,0,0,0.5555555555555556,0.0
Sleep Tech,9,5,0,4,0,0,3,0.5555555555555556,0.0
Kids,9,4,1,4,0,0,5,0.4444444444444444,0.0
Sustainable Fashion,9,6,0,3,0,2,6,0.6666666666666666,0.0
APIs,9,7,2,0,2,2,5,0.7777777777777778,0.2222222222222222
Emerging Markets,9,8,0,1,4,5,6,0.8888888888888888,0.4444444444444444
Metaverse,8,6,0,2,0,2,3,0.75,0.0
Fertility Tech,8,5,1,2,0,0,3,0.625,0.0
Civic Tech,8,6,2,0,2,2,2,0.75,0.25
Autonomous Delivery,8,4,2,2,0,0,4,0.5,0.0
Advanced Materials,8,7,0,1,1,1,1,0.875,0.125
Primary Care,8,7,1,0,0,1,5,0.875,0.0
Billing,7,6,0,1,2,5,6,0.8571428571428571,0.2857142857142857
Podcasts,7,3,1,3,1,2,4,0.42857142857142855,0.14285714285714285
SMS,7,6,0,1,2,4,5,0.8571428571428571,0.2857142857142857
Smart Home Assistants,7,1,4,2,1,1,1,0.14285714285714285,0.14285714285714285
Cannabis,7,5,0,2,0,0,0,0.7142857142857143,0.0
Calendar,7,2,2,3,1,1,3,0.2857142857142857,0.14285714285714285
Biometrics,7,3,1,3,1,2,4,0.42857142857142855,0.14285714285714285
Talent Acquisition,7,5,1,1,0,0,2,0.7142857142857143,0.0
Anti-Aging,7,4,1,2,0,0,3,0.5714285714285714,0.0
Speech Recognition,6,5,1,0,2,4,5,0.8333333333333334,0.3333333333333333
Furniture,6,1,2,3,0,0,0,0.16666666666666666,0.0
Feedback,6,3,1,2,4,4,5,0.5,0.6666666666666666
Drug Delivery,6,6,0,0,1,3,3,1.0,0.16666666666666666
Dating,6,3,0,3,0,0,1,0.5,0.0
Assistive Tech,6,2,1,3,0,0,1,0.3333333333333333,0.0
Cellular Agriculture,6,5,1,0,0,2,2,0.8333333333333334,0.0
Self-Driving Vehicles,6,2,2,2,0,0,1,0.3333333333333333,0.0
Remote,6,2,1,3,0,0,2,0.3333333333333333,0.0
Investments,6,4,1,1,2,4,5,0.6666666666666666,0.3333333333333333
